mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06929984092712402,0.004231388088534914,0.025073814392089843,0.02442644093486697,0.7,0.1,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-3.2695355421606873,-3.5255854195878524,-2.149457601685771,-2.0444518742858313,-4.481849007508484,-3.094175889045725,0.9096059613176787,29
0.06624426841735839,0.0025861477277300585,0.014890003204345702,0.001229786432597514,0.7,0.1,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-3.2215730481557996,-3.545461932785701,-2.148592531911653,-1.8935910376252305,-4.390776740159602,-3.0399990581275973,0.9189035991050076,21
0.12776570320129393,0.020349479029097745,0.013912677764892578,0.0018126686009508593,0.7,0.1,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-3.293119144445599,-3.5518347903352585,-2.1679674936163575,-2.1204517061677053,-4.345485350738138,-3.0957716970606115,0.8509751466157878,30
0.12543368339538574,0.014716310360687998,0.016900920867919923,0.005407172583320457,0.7,0.1,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-3.206342627609488,-3.5185105236062277,-2.1241508603550354,-2.009919414421524,-3.988983606325332,-2.9695814064635218,0.7787507744884761,7
0.10412373542785644,0.007193008533357883,0.014329147338867188,0.002157656666225784,0.7,0.1,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-2.689869376671872,-3.5378450178404797,-1.9046331000734038,-1.8640617228711056,-4.275871741261722,-2.8544561917437163,0.9378247577436405,3
0.10322451591491699,0.004765868443087098,0.014539957046508789,0.0020583695836351363,0.7,0.1,6,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-3.823803393985634,-3.6295496074193707,-2.246458257715282,-1.696893340991466,-4.717984182511108,-3.222937756524572,1.0994417035204112,52
0.2009291172027588,0.0167299613927223,0.026537513732910155,0.025727789088724966,0.7,0.1,6,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",-2.740110506008775,-3.6245922658573155,-1.817925882258153,-1.929466274686401,-4.861216162442449,-2.994662218250619,1.137100071963039,11
0.17751569747924806,0.029734867004480105,0.013967180252075195,0.0022799449647680904,0.7,0.1,6,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",-4.076867055774125,-3.7651948274115434,-2.1643039408297993,-1.718578077516658,-5.068407213376784,-3.3586702229817815,1.2426328969186862,61
0.20585007667541505,0.023403988214747817,0.02637372016906738,0.024447489739253016,0.7,0.1,10,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.7}",-3.0627867061165035,-3.40737672957811,-1.7216167539358058,-1.8581015111232777,-5.4835512101836885,-3.106686582187477,1.3578814626095992,33
0.1982407569885254,0.016600279304981116,0.013645553588867187,0.000676378921268118,0.7,0.1,10,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-3.6872443640179347,-3.3763090692226676,-2.0350290736405645,-1.7593987003703184,-5.230592232490771,-3.217714687948451,1.2508170997968642,49
0.35486888885498047,0.021030057895644026,0.01271815299987793,0.0006843079640777488,0.7,0.1,10,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.7}",-3.147232829691196,-3.4072144965329967,-1.6515779577579563,-1.891547319575411,-5.806166479174113,-3.1807478165463343,1.4795696633804885,44
0.3476311683654785,0.02260049761050561,0.014774656295776368,0.002118690176138306,0.7,0.1,10,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",-3.7251372583995033,-3.4015382934160514,-2.015965166017109,-1.7744387862866136,-5.543436817129691,-3.2921032642497936,1.3564535484455689,58
0.06942262649536132,0.004672576956782566,0.012746858596801757,0.0010250076446373004,0.7,0.2,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-3.345235219940756,-4.006104345857541,-1.906853754692316,-2.2174184651290583,-3.9951734804198002,-3.094157053207895,0.8814622382131985,28
0.06765704154968262,0.0055359805358679536,0.01472616195678711,0.003565705899223034,0.7,0.2,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-3.5332401662508066,-3.594701419444642,-2.1134112122804165,-1.9339816555447893,-4.1077572881119515,-3.056618348326521,0.8685099498505239,24
0.1380711555480957,0.013974528827938997,0.013724994659423829,0.0007596212499485353,0.7,0.2,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-2.9954320651130155,-3.9670055833326425,-1.9014105585381178,-2.2290413593789484,-4.925701728817026,-3.20371825903595,1.1168901605539479,47
0.11481165885925293,0.01221345603240829,0.012549400329589844,0.0007167108674938375,0.7,0.2,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-3.2037081978906765,-3.79507964587558,-2.121171737363076,-2.0222633844290736,-4.762425432180636,-3.180929679547808,1.0338686896411717,45
0.10648713111877442,0.0036521899985299013,0.012082767486572266,0.0004607726929517579,0.7,0.2,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-2.96522791587207,-4.054541227110231,-2.012174637416127,-2.0187354840473923,-4.428213704524411,-3.0957785937940456,1.004576725331314,31
0.09827680587768554,0.0041138244015360495,0.012224197387695312,0.000601683491992284,0.7,0.2,6,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-3.7461802998161313,-3.6021457994626087,-1.9144404911532054,-1.816307521918955,-5.010980059125145,-3.218010834295209,1.2087455573780612,50
0.19719738960266114,0.01320570885869558,0.014578437805175782,0.00285555334032804,0.7,0.2,6,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",-2.9640187439958834,-4.073288169715948,-1.9842524540695023,-2.114178911772346,-4.9768124877653,-3.2225101534637957,1.151511875167679,51
0.16402034759521483,0.007895779632969637,0.014200735092163085,0.0016672809041335137,0.7,0.2,6,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",-3.931172511583717,-3.603165413982798,-1.8446997469787767,-1.8630815088882537,-5.776251841246619,-3.4036742045360326,1.4663562365266585,64
0.2026057243347168,0.011843438526703741,0.013940858840942382,0.0005325760769967417,0.7,0.2,10,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.7}",-2.8545259820866504,-3.6825596641902116,-1.697535111310175,-1.9613047508442107,-5.958050872457763,-3.2307952761778025,1.5327156069195684,53
0.18371167182922363,0.0131331823123535,0.027559566497802734,0.025223039589771727,0.7,0.2,10,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-4.092580682791437,-3.5879330275026655,-2.1224954772251774,-1.7524676454610801,-5.407095523477073,-3.3925144712914865,1.3333806481741313,62
0.3908046245574951,0.028631307152707064,0.014121484756469727,0.0012714980570335396,0.7,0.2,10,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.7}",-2.9848379790248902,-3.7235851170852805,-1.67555909992346,-1.9561736102769243,-6.186112839356297,-3.30525372913337,1.6157313122909474,59
0.3310283660888672,0.014911871547338345,0.014333200454711915,0.0016249565445747797,0.7,0.2,10,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",-4.092641512831535,-3.573413740034152,-2.108420756540839,-1.765796075373256,-5.449433467221696,-3.3979411104002955,1.3452717451404832,63
0.07607464790344239,0.006434320517898153,0.014130258560180664,0.0020539868748048543,1.0,0.01,3,100,0.7,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-3.114078208859493,-3.8426906545469137,-2.6134629640013323,-2.2996578056448436,-3.724135992102599,-3.1188051250310362,0.6027986550715491,37
0.06611590385437012,0.0040615299441169195,0.011937808990478516,0.0003912333202569691,1.0,0.01,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-3.04175872645223,-3.932966969074673,-2.664622913519552,-2.3850687729397397,-3.6995406809543065,-3.1447916125881,0.5911553889968266,39
0.12098746299743653,0.005214097219232697,0.013113260269165039,0.001437322890831051,1.0,0.01,3,200,0.7,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-2.9468957894741155,-3.682747509957177,-2.4267479049218172,-2.0162789145340474,-4.138140345445024,-3.042162092866436,0.7812508679784578,22
