ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,nam,newmajor
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,242,"Kỹ thuật Ô tô (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",60.7,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,211,"Kỹ thuật Cơ điện tử; Chuyên ngành Kỹ thuật Robot (CT chất lượng cao, tiên tiến)",62.28,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,209,"Kỹ thuật Cơ khí (CLC, giảng dạy bằng tiếng Anh, học phí tương ứng)",58.49,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,114,Kỹ thuật Hóa học; Công nghệ Thực phẩm; Công nghệ Sinh học; (Nhóm ngành),70.83,"A00, B00, D07",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,207,"Kỹ thuật Máy tính (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",61.39,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,140,Kỹ thuật Nhiệt (Nhiệt lạnh),60.46,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,120,Kỹ thuật Địa chất; Kỹ thuật Dầu khí; (Nhóm ngành),58.02,"A00, A01, D07",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,108,Kỹ thuật Điện; Kỹ thuật Điện tử - Viễn thông; Kỹ thuật Điều khiển và tự động hóa; (Nhóm ngành),66.59,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,110,Kỹ thuật Cơ điện tử,71.81,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,215,"Kỹ thuật Xây dựng (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",55.4,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,129,Kỹ thuật Vật liệu,55.36,"A00, A01, D07",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,228,"Logistics và Quản lý chuỗi cung ứng (CT Chất lượng cao, tiên tiến)",60.78,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,123,Quản lý Công nghiệp,65.17,"A00, A01, D01, D07",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,225,"Quản lý Tài nguyên và Môi trường (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",54.0,"A00, A01, B00, D07",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,223,"Quản lý Công nghiệp (CT Chất lượng cao, giảng dạy bằng tiếng Anh, học phí tương ứng)",61.41,"A00, A01, D01, D07",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,237,"Vật lý Kỹ thuật_Chuyên ngành Kỹ thuật Y sinh (CT Chất lượng cao, tiên tiến)",60.81,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,137,Vật lý Kỹ thuật,60.81,"A00, A01",2023,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,141,Bảo dưỡng Công nghiệp,65.44,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,268,Cơ Kỹ thuật - CLC Tăng cường Tiếng Nhật,68.75,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,138,Cơ Kỹ thuật,74.7,"A00, A01",2024,0
QSB,Đại học Bách khoa - Đại học Quốc gia TP HCM,TP HCM,218,Công nghệ sinh học,70.91,"A00, B00, B08, D07",2024,0
