ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,to_hop_mon,predicted_diem,newmajor,nam
HCP,Học viện Chính sách và Phát triển,Hà Nội,7340201_1,Tài chính ngân hàng (chuyên ngành Tài chính doanh nghiệp),"A01, D01, D07, D10",34.29,1,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7340301,Kế toán,"A00, A01, C01, D07",33.38,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340405,Hệ thống thông tin,"A00, A01, D01, D07",34.78,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7460112,ĐH Toán ứng dụng,"A00, A01",32.56,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7480101,Khoa học máy tính,"A00, A01, D01",33.28,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480101,Khoa học máy tính,"A00, A01, D01, D07",34.54,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7480102,Mạng máy tính và truyền thông dữ liệu,"A00, A01, D01",33.11,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7480103,Kỹ thuật phần mềm,"A00, A01, D01",33.15,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480104,Hệ thống thông tin,"A00, A01, D01, D07",34.43,1,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480201,Công nghệ thông tin,"A00, A01, D01, D07",34.68,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480202,An toàn thông tin,"A00, A01, D01, D07",34.37,1,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7520114,Kỹ thuật cơ điện tử,"A00, A01, C01",31.28,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7520201,Kỹ thuật điện,"A00, A01, C01",30.89,1,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7520207,Ngành Kỹ thuật điện tử truyền thông,"A00, A01, C01",30.94,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7520216,Ngành Kỹ thuật điều khiển & Tự động hóa,"A00, A01, C01",31.66,0,2025
KTA,Đại học Kiến trúc Hà Nội,Hà Nội,7580101,Kiến trúc,"V00, V01, V02",31.53,1,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7720201,Dược học,"A00, B00, D07",32.46,0,2025
VHH,Đại học Văn hóa Hà Nội,Hà Nội,7810101C,Du lịch - Hướng dẫn du lịch quốc tế,"C19, D01, D09, D14, D15",32.64,0,2025
NHF,Đại học Hà Nội,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,D01,33.45,0,2025
NHF,Đại học Hà Nội,Hà Nội,7810103 TT,Quản trị dịch vụ du lịch và lữ hành - CTTT,D01,31.83,1,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7810301,Quản lý thể dục thể thao,"A01, D01, T00, T01",32.56,0,2025
NHH,Học viện Ngân hàng,Hà Nội,ACT01,CLC Kế toán,"A00, A01, D01, D07",33.89,0,2025
NHH,Học viện Ngân hàng,Hà Nội,BANK01,CLC Ngân hàng,"A00, A01, D01, D07",33.89,0,2025
NHH,Học viện Ngân hàng,Hà Nội,BANK06,Ngân hàng và Tài chính quốc tế CLC,"A00, A01, D01, D07",33.54,1,2025
NHH,Học viện Ngân hàng,Hà Nội,BUS01,CLC Quản trị kinh doanh,"A00, A01, D01, D07",33.94,0,2025
NHH,Học viện Ngân hàng,Hà Nội,BUS06,Marketing số CLC,"A00, A01, D01, D07",33.84,1,2025
NHH,Học viện Ngân hàng,Hà Nội,ECON02,Kinh tế đầu tư CLC,"A01, D01, D07, D09",34.64,1,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP01,Khởi nghiệp và phát triển kinh doanh (BBAE) học bằng tiếng Anh (tiếng Anh hệ số 2),"A01, D01, D07, D09",35.89,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP10,Đầu tư tài chính (BFI - tiếng Anh hệ số 2),"A01, D01, D07, D10",36.22,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP11,Quản trị khách sạn quốc tế (IHME - tiếng Anh hệ số 2),"A01, D01, D09, D10",35.03,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC),"A01, D01, D07, D10",36.25,0,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP15,Khoa học dữ liệu,"A00, A01, D01, D07",34.67,1,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP16,Trí tuệ nhân tạo,"A00, A01, D01, D07",34.67,1,2025
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP17,Kỹ thuật phần mềm,"A00, A01, D01, D07",34.67,1,2025
