ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,nam,newmajor
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340101,Quản trị kinh doanh (Chuyên ngành: Quản trị nguồn nhân lực) - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,32.7,"A00, A01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,F7340201,Tài chính - Ngân hàng - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,30.1,"A00, A01, D01, D07",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7340201,Tài chính – Ngân hàng,33.6,"A00, A01, D01, D07",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7310630Q,Việt Nam học (Chuyên ngành Du lịch và Quản lý du lịch),31.8,"A01, C00, C01, D01",2022,0
DTT,Đại học Tôn Đức Thắng,TP HCM,7310630,Việt Nam học,31.8,"A01, C00, C01, D01",2022,0
MHN,Đại học Mở Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,31.0,D01,2022,0
MHN,Đại học Mở Hà Nội,Hà Nội,7220204,Ngôn ngữ Trung Quốc,31.77,"D01, D04",2022,0
MHN,Đại học Mở Hà Nội,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,30.35,D01,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,604,Báo phát thanh,35.7,D01,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,604,Báo phát thanh,35.7,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,35.35,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,36.5,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,605,Báo truyền hình,34.94,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,605,Báo truyền hình,34.94,D01,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,35.35,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,36.5,D01,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,602,Báo in,35.35,D01,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,604,Báo phát thanh,35.7,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,605,Báo truyền hình,34.94,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,607,Báo mạng điện tử,36.5,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7229010,Lịch sử,37.5,"C03, D14",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7229010,Lịch sử,37.5,"C00, C19",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,611,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và truyền thông quốc tế",35.67,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,615,"Ngành Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp",36.35,"A01, D01",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,606,"Ngành Báo chí, chuyên ngành Quay phim truyền hình",33.33,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,616,"Ngành Quan hệ công chúng, chuyên ngành Truyền thông marketing (chất lượng cao)",35.34,"A01, D01",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,616,"Ngành Quan hệ công chúng, chuyên ngành Truyền thông marketing (chất lượng cao)",35.34,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,614,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và truyền thông toàn cầu (chất lượng cao)",34.26,"A01, D01",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,603,"Ngành Báo chí, chuyên ngành Ảnh báo chí",34.23,D01,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,615,"Ngành Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp",36.35,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,610,"Ngành Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",34.77,"A01, D01",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,616,"Ngành Quan hệ công chúng, chuyên ngành Truyền thông marketing (chất lượng cao)",35.34,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,615,"Ngành Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp",36.35,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,611,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và truyền thông quốc tế",35.67,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,614,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và truyền thông toàn cầu (chất lượng cao)",34.26,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,603,"Ngành Báo chí, chuyên ngành Ảnh báo chí",34.23,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,611,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và truyền thông quốc tế",35.67,"A01, D01",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,606,"Ngành Báo chí, chuyên ngành Quay phim truyền hình",33.33,"D01, D78",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,603,"Ngành Báo chí, chuyên ngành Ảnh báo chí",34.23,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,610,"Ngành Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",34.77,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,614,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và truyền thông toàn cầu (chất lượng cao)",34.26,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,610,"Ngành Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",34.77,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7220201,Ngôn ngữ Anh,35.79,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7220201,Ngôn ngữ Anh,35.79,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7220201,Ngôn ngữ Anh,35.79,"A01, D01",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7320110,Quảng cáo,34.95,"A01, D01",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7320110,Quảng cáo,34.95,D78,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7320110,Quảng cáo,34.95,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7320107,Truyền thông quốc tế,36.99,D72,2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7320107,Truyền thông quốc tế,36.99,"A01, D01",2022,0
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7320107,Truyền thông quốc tế,36.99,D78,2022,0
HQT,Học viện Ngoại giao,Hà Nội,HQT02,Ngôn ngữ Anh,35.07,"A01, D01, D07",2022,0
HHA,Đại học Hàng hải Việt Nam,Hải Phòng,7220201D125,"Ngôn ngữ Anh,",33.25,"A01, D01, D10, D14",2022,0
HHA,Đại học Hàng hải Việt Nam,Hải Phòng,7220201D124,Tiếng Anh thương mại,33.0,"A01, D01, D10, D14",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140201,Giáo dục Mầm non,33.43,"M01, M05, M09",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140204,Giáo dục Công dân,34.92,"C00, C19, D01, D66",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140202,Giáo dục Tiểu học,36.62,"A00, A01, C04, D01",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140206,Giáo dục Thể chất,32.83,"T00, T01, T02, T05",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7220204,Ngôn ngữ Trung Quốc,32.75,"D01, D04, D11, D14",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7220201,Ngôn ngữ Anh,32.73,"A01, D01, D11, D12",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140231,Sư phạm Tiếng Anh,35.28,"A01, D11, D12",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140212,Sư phạm Hóa học,34.07,"A00, A06, B00, D07",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140217,Sư phạm Ngữ văn,37.17,"C00, C14, D01, D15",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140211,Sư phạm Vật lý,34.03,"A00, A01, C01, D11",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140209,Sư phạm Toán học,34.95,"A00, A01, D01, D84",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140213,Sư phạm Sinh học,31.57,"A02, B00, B03, B08",2022,0
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7140218,Sư phạm Lịch sử,38.67,"C00, C03, C19, D14",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7310201,Chính trị học,30.5,"C00, D01, D66, D78",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7460112,ĐH Toán ứng dụng,30.43,"A00, A01, D01, D07",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7140204,Giáo dục Công dân,30.57,"D66, D78, D84, D96",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7140202,Giáo dục Tiểu học,33.7,"D01, D72, D78, D96",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7140201,Giáo dục Mầm non,30.12,"D01, D72, D90, D96",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7510605,Logistics và Quản lý chuỗi cung ứng,32.78,"A00, C00, D01, D96",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7380101,Ngành Luật,33.93,"C00, D01, D66, D78",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7220204,Ngôn ngữ Trung Quốc,33.02,"D01, D14, D15, D78",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,33.4,"D01, D14, D15, D78",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7340101,Quản trị Kinh doanh,31.53,"A00, C00, D01, D96",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7140114,Quản lý giáo dục,32.0,"C00, D01, D14, D78",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,30.35,"D01, D14, D15, D78",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7140218,Sư phạm Lịch sử,36.0,"D09, D14, D78, D96",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7140209,Sư phạm Toán học,33.95,"A01, D01, D07, D90",2022,0
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7140217,Sư phạm Ngữ văn,33.93,"D01, D14, D15, D78",2022,0
VHH,Đại học Văn hóa Hà Nội,Hà Nội,7810101C,Du lịch - Hướng dẫn du lịch quốc tế,31.85,"C19, D01, D09, D14, D15",2022,0
VHH,Đại học Văn hóa Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,33.18,"C19, D01, D09, D14, D15",2022,0
TDV,Đại học Vinh,Nghệ An,7140231,Sư phạm Tiếng Anh,32.0,"A01, D01, D14, D15",2022,0
TDV,Đại học Vinh,Nghệ An,7140231C,Sư phạm tiếng Anh (lớp tài năng),36.0,"A01, D01, D14, D15",2022,0
HCP,Học viện Chính sách và Phát triển,Hà Nội,7220201,Ngôn ngữ Anh,30.8,"A01, D01, D07, D10",2022,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480201,Công nghệ thông tin,35.3,"A00, A01, D01, D07",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP10,Đầu tư tài chính (BFI - tiếng Anh hệ số 2),36.5,"A01, D01, D07, D10",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340405,Hệ thống thông tin,36.15,"A00, A01, D01, D07",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480101,Khoa học máy tính,35.35,"A00, A01, D01, D07",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP01,Khởi nghiệp và phát triển kinh doanh (BBAE) học bằng tiếng Anh (tiếng Anh hệ số 2),36.1,"A01, D01, D07, D09",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC),36.4,"A01, D01, D07, D10",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE4,Luật kinh doanh,36.2,"A01, D01, D07, D09",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,7220201,Ngôn ngữ Anh,36.5,"A01, D01, D09, D10",2023,0
KHA,Đại học Kinh tế quốc dân,Hà Nội,POHE5,Quản trị kinh doanh thương mại,36.85,"A01, D01, D07, D09",2023,0
