ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon
DNC,Đại học Nam Cần Thơ,Cần Thơ,7480201,Công nghệ thông tin,21.97,A00
VHD,Đại Học Công Nghiệp Việt Hung,Hà Nội,7480201,Công nghệ thông tin,21.97,A00
DDA,Đại học Công Nghệ Đông Á,Hà Nội,7480201,Công nghệ thông tin,21.97,A00
VUI,Đại Học Công Nghiệp Việt Trì,Phú Thọ,7480201,Công nghệ thông tin,21.97,A00
DPX,Đại học Dân Lập Phú Xuân,Huế,7480201,Công nghệ thông tin,21.97,A00
DAD,Đại Học Đông Á,Đà Nẵng,7480201,Công nghệ thông tin,21.97,A00
SPD,Đại học Đồng Tháp,Đồng Tháp,7480201,Công nghệ thông tin,21.97,A00
HHT,Đại học Hà Tĩnh,Hà Tĩnh,7480201,Công nghệ thông tin,21.97,A00
HDT,Đại học Hồng Đức,Thanh Hóa,7480201,Công nghệ thông tin,21.97,A00
THV,Đại học Hùng Vương,Phú Thọ,7480201,Công nghệ thông tin,21.97,A00
TKG,Đại học Kiên Giang,Kiên Giang,7480201,Công nghệ thông tin,21.97,A00
DLA,Đại học Kinh tế Công nghiệp Long An,Long An,7480201,Công nghệ thông tin,21.97,A00
DLH,Đại học Lạc Hồng,Đồng Nai,7480201,Công nghệ thông tin,21.97,A00
DBG,Đại học Nông Lâm Bắc Giang,Bắc Giang,7480201,Công nghệ thông tin,21.97,A00
DPQ,Đại học Phạm Văn Đồng,Quảng Ngãi,7480201,Công nghệ thông tin,21.97,A00
VLU,Đại học Sư phạm Kỹ thuật Vĩnh Long,Vĩnh Long,7480201,Công nghệ thông tin,21.97,A00
TTN,Đại học Tây Nguyên,Đắk Lắk,7480201,Công nghệ thông tin,21.97,A00
VTT,Đại học Võ Trường Toản,Hậu Giang,7480201,Công nghệ thông tin,21.97,A00
XDT,Đại học Xây dựng Miền Trung,Phú Yên,7480201,Công nghệ thông tin,21.97,A00
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480201,Công nghệ thông tin,23.59,"A00, A01"
QSQ,Đại học Quốc tế - Đại học Quốc gia TP HCM,TP HCM,7480201,Công nghệ thông tin,23.59,"A00, A01"
TCT,Đại học Cần Thơ,Cần Thơ,7480201,Công nghệ thông tin,23.59,"A00, A01"
DTL,Đại học Thăng Long,Hà Nội,7480201,Công nghệ thông tin,23.59,"A00, A01"
SGD,Đại học Sài Gòn,TP HCM,7480201,Công nghệ thông tin,23.59,"A00, A01"
DDK,Đại học Bách Khoa - Đại học Đà Nẵng,Đà Nẵng,7480201,Công nghệ thông tin,23.59,"A00, A01"
DDS,Đại học Sư Phạm - Đại học Đà Nẵng,Đà Nẵng,7480201,Công nghệ thông tin,23.59,"A00, A01"
BVS,Học viện Công nghệ Bưu chính Viễn thông (phía Nam),TP HCM,7480201,Công nghệ thông tin,23.59,"A00, A01"
BVH,Học viện Công nghệ Bưu chính Viễn thông (phía Bắc),Hà Nội,7480201,Công nghệ thông tin,23.59,"A00, A01"
DTD,Đại học Tây Đô,Cần Thơ,7480201,Công nghệ thông tin,22.83,"A00, A01, A02, C01"
DDU,Đại Học Đông Đô,Hà Nội,7480201,Công nghệ thông tin,23.05,"A00, A01, A02, D01"
DQB,Đại Học Quảng Bình,Quảng Bình,7480201,Công nghệ thông tin,23.05,"A00, A01, A02, D01"
TTB,Đại học Tây Bắc,Sơn La,7480201,Công nghệ thông tin,23.05,"A00, A01, A02, D01"
DDN,Đại học Đại Nam,Hà Nội,7480201,Công nghệ thông tin,20.23,"A00, A01, A10, D84"
DHP,Đại học Quản lý và Công nghệ Hải Phòng,Hải Phòng,7480201,Công nghệ thông tin,20.23,"A00, A01, A10, D84"
KTD,Đại học Kiến trúc Đà Nẵng,Đà Nẵng,7480201,Công nghệ thông tin,21.31,"A00, A01, B00, D01"
CEA,Đại học Kinh Tế Nghệ An,Nghệ An,7480201,Công nghệ thông tin,21.31,"A00, A01, B00, D01"
DMT,Đại học Tài nguyên và Môi trường Hà Nội,Hà Nội,7480201,Công nghệ thông tin,21.31,"A00, A01, B00, D01"
TDD,Đại học Thành Đô,Hà Nội,7480201,Công nghệ thông tin,21.31,"A00, A01, B00, D01"
TQU,Đại học Tân Trào,Tuyên Quang,7480201,Công nghệ thông tin,21.72,"A00, A01, B00, D07"
SPS,Đại học Sư phạm TP HCM,TP HCM,7480201,Công nghệ thông tin,23.71,"A00, A01, B08"
DTV,Đại Học Lương Thế Vinh,Nam Định,7480201,Công nghệ thông tin,23.02,"A00, A01, C01"
QSA,Đại học An Giang - Đại học Quốc gia TP HCM,An Giang,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
DVH,Đại học Văn Hiến,TP HCM,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
DKC,Đại học Công nghệ TP HCM,TP HCM,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
DMD,Đại học Công nghệ Miền Đông,Hà Nội,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
GDU,Đại học Gia Định,TP HCM,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
ETU,Đại học Hòa Bình,Hà Nội,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
UEF,Đại học Kinh tế - Tài chính TP HCM,TP HCM,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
KCC,Đại học Kỹ thuật Công nghệ Cần Thơ,Cần Thơ,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
DPT,Đại học Phan Thiết,Bình Thuận,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
DPD,Đại học Phương Đông,Hà Nội,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
HIU,Đại học Quốc tế Hồng Bàng,TP HCM,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
SP2,Đại học Sư phạm Hà Nội 2,Vĩnh Phúc,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
DSK,Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,Đà Nẵng,7480201,Công nghệ thông tin,22.8,"A00, A01, C01, D01"
DVT,Đại học Trà Vinh,Trà Vinh,7480201,Công nghệ thông tin,21.53,"A00, A01, C01, D07"
HUI,Đại học Công nghiệp TP HCM,TP HCM,7480201,Công nghệ thông tin,23.48,"A00, A01, C01, D90"
TDM,Đại học Thủ Dầu Một,Bình Dương,7480201,Công nghệ thông tin,23.48,"A00, A01, C01, D90"
DQT,Đại học Quang Trung,Bình Định,7480201,Công nghệ thông tin,23.43,"A00, A01, C02, D01"
DCA,Đại học Chu Văn An,Hưng Yên,7480201,Công nghệ thông tin,21.04,"A00, A01, C04, D01"
UKB,Đại học Kinh Bắc,Bắc Ninh,7480201,Công nghệ thông tin,21.04,"A00, A01, C04, D01"
NTU,Đại học Nguyễn Trãi,Hà Nội,7480201,Công nghệ thông tin,21.04,"A00, A01, C04, D01"
DHV,Đại học Hùng Vương TP HCM,TP HCM,7480201,Công nghệ thông tin,21.77,"A00, A01, C14, D01"
DQU,Đại học Quảng Nam,Quảng Nam,7480201,Công nghệ thông tin,21.77,"A00, A01, C14, D01"
MHN,Đại học Mở Hà Nội,Hà Nội,7480201,Công nghệ thông tin,23.25,"A00, A01, D01"
DKT,Đại Học Hải Dương,Hải Dương,7480201,Công nghệ thông tin,23.25,"A00, A01, D01"
DLX,Đại học Lao động - Xã hội (Cơ sở Hà Nội),Hà Nội,7480201,Công nghệ thông tin,23.25,"A00, A01, D01"
DQN,Đại học Quy Nhơn,Bình Định,7480201,Công nghệ thông tin,23.25,"A00, A01, D01"
TBD,Đại học Thái Bình Dương,Khánh Hòa,7480201,Công nghệ thông tin,20.99,"A00, A01, D01, D03, D06, D07, D23, D24, D28, D29"
HSU,Đại học Hoa Sen,TP HCM,7480201,Công nghệ thông tin,21.11,"A00, A01, D01, D03, D07, D28"
QSC,Đại học Công nghệ Thông tin - Đại học Quốc gia TP HCM,TP HCM,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
MBS,Đại học Mở TP HCM,TP HCM,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
NTT,Đại học Nguyễn Tất Thành,TP HCM,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
DCQ,Đại học Công Nghệ và Quản Lý Hữu Nghị,Hà Nội,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
DCT,Đại học Công nghiệp Thực phẩm TP HCM,TP HCM,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
DCV,Đại học Công nghiệp Vinh,Nghệ An,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
DCL,Đại học Cửu Long,Vĩnh Long,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
DDL,Đại học Điện lực,Hà Nội,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
HLU,Đại học Hạ Long,Quảng Ninh,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
DHT,Đại học Khoa Học - Đại học Huế,Huế,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
KTA,Đại học Kiến trúc Hà Nội,Hà Nội,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
MDA,Đại học Mỏ - Địa chất,Hà Nội,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
DNT,Đại học Ngoại ngữ - Tin học TP HCM,TP HCM,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
TTQ,Đại học Quốc tế Sài Gòn,TP HCM,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
SKH,Đại học Sư phạm Kỹ thuật Hưng Yên,Hưng Yên,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
HNM,Đại học Thủ Đô Hà Nội,Hà Nội,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
TDV,Đại học Vinh,Nghệ An,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
XDA,Đại học Xây dựng Hà Nội,Hà Nội,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
DDP,Phân Hiệu Đại học Đà Nẵng tại Kon Tum,Kon Tum,7480201,Công nghệ thông tin,24.28,"A00, A01, D01, D07"
HPN,Học viện Phụ nữ Việt Nam,Hà Nội,7480201,Công nghệ thông tin,21.38,"A00, A01, D01, D09"
DVL,Đại học Văn Lang,TP HCM,7480201,Công nghệ thông tin,21.68,"A00, A01, D01, D10"
DQK,Đại học Kinh doanh và Công nghệ Hà Nội,Hà Nội,7480201,Công nghệ thông tin,21.68,"A00, A01, D01, D10"
DKB,Đại học Kinh tế Kỹ thuật Bình Dương,Bình Dương,7480201,Công nghệ thông tin,21.68,"A00, A01, D01, D10"
